"","category","Name","Location","lat","lon","Accessible","Phone","IceSkating_Type","Num_of_Fields","Num_of_Courts","Size","RunningTracks_Type"
"1","iceskating","Abe Stark Rink","Coney Island Boardwalk and West 19th Street","40.5731","-73.9859","OPEN","(718) 946-6536","Indoor",NA,NA,NA,NA
"2","iceskating","LeFrak Center at Lakeside","Lincoln Road and Ocean Avenue","40.6579","-73.9653","OPEN","(718) 462-0010","Outdoor",NA,NA,NA,NA
"3","iceskating","The Rink at Bryant Park","Between 40th and 42nd Streets","40.7536","-73.9848","OPEN","(917) 438-5166","Indoor",NA,NA,NA,NA
"4","iceskating","Lasker Rink","Entrance just south of park entrance at 110th Street & Lenox Avenue.","40.7964","-73.9546","OPEN","(917) 492-3856","Outdoor",NA,NA,NA,NA
"5","iceskating","Wollman Rink","Central Park at 63rd Street","40.7677","-73.9744","OPEN","(212) 439-6900","Outdoor",NA,NA,NA,NA
"6","iceskating","WWII Veterans War Memorial Ice Skating Rink","Victory Blvd., west of Clove Rd.","40.6156","-74.1077","OPEN","(718) 720-1010","Outdoor",NA,NA,NA,NA
"7","iceskating","World Ice Arena","Avery Avenue and 131 Street","40.7527","-73.835","OPEN","(718) 760-9001 or (718) 760-9005","Indoor",NA,NA,NA,NA
"8","basketball","174th Street Playground","E 174 St. & Bronx River Ave.","40.8342","-73.8775","CLOSED",NA,NA,NA,NA,NA,NA
"9","basketball","52 Playground","Kelly St. & Ave. St. John","40.8149","-73.9021","CLOSED",NA,NA,NA,NA,NA,NA
"10","basketball","Abigail Adams Playground","Tinton Ave. & E 156 St.","40.8172","-73.9044","CLOSED",NA,NA,NA,NA,NA,NA
"11","basketball","Agnes Haywood Playground","Barnes Ave. & E 215 St.","40.8804","-73.8619","CLOSED",NA,NA,NA,NA,NA,NA
"12","basketball","Allerton Playground","Bouck & Throop Aves.","40.8659","-73.8503","CLOSED",NA,NA,NA,NA,NA,NA
"13","basketball","Angelo Campanero Playground","Gun Hill Rd., Eastchester Rd. and O'Neill Pl.","40.8679","-73.843","CLOSED",NA,NA,NA,NA,NA,NA
"14","basketball","Aqueduct Lands Playground","W 183 St., Aqueduct Ave., W Tremont Ave. and University Ave.","40.8634","-73.9035","CLOSED",NA,NA,NA,NA,NA,NA
"15","basketball","Arcilla Playground","E 164 St. & Teller Ave.","40.8271","-73.9145","CLOSED",NA,NA,NA,NA,NA,NA
"16","basketball","Bailey Playground","Bailey Ave. & W 234-W 238 Sts.","40.8811","-73.9008","CLOSED",NA,NA,NA,NA,NA,NA
"17","basketball","Behagen Playground","E 166 St., Union Ave. and Tinton Ave.","40.8254","-73.9015","CLOSED",NA,NA,NA,NA,NA,NA
"18","basketball","Belmont Playground","Crotona Ave. & E 181 St.","40.8497","-73.8875","CLOSED",NA,NA,NA,NA,NA,NA
"19","basketball","Brady Playground","Bronxdale Ave. & Bronx Pk E","40.8512","-73.8705","CLOSED",NA,NA,NA,NA,NA,NA
"20","basketball","Bridge Playground","Boscobel Pl., University Ave. and W 171 St.","40.8443","-73.924","CLOSED",NA,NA,NA,NA,NA,NA
"21","basketball","Bruckner Playground","Phillips Ave. & E 177 St.","40.8268","-73.8289","CLOSED",NA,NA,NA,NA,NA,NA
"22","basketball","Bufano Playground","Bradford, Edison, La Salle and Waterbury Aves.","40.838","-73.8312","CLOSED",NA,NA,NA,NA,NA,NA
"23","basketball","Capt. Rivera Playground","Forest Ave. & E 156 St.","40.8179","-73.907","CLOSED",NA,NA,NA,NA,NA,NA
"24","basketball","Caserta Playground","St. Raymond Ave. & Odell St.","40.8372","-73.854","CLOSED",NA,NA,NA,NA,NA,NA
"25","basketball","Cedar Playground","W 179 St. & Sedgwick Ave.","40.8548","-73.9177","CLOSED",NA,NA,NA,NA,NA,NA
"26","basketball","Claremont Park","E 170 St. & Teller Ave.","40.8378","-73.9082","CLOSED",NA,NA,NA,NA,NA,NA
"27","basketball","Clark Playground","E 144 St. & 3 Ave.","40.8136","-73.9211","CLOSED",NA,NA,NA,NA,NA,NA
"28","basketball","Crotona Playground #11","Fulton Ave. between E 172 St. and Claremont","40.8384","-73.8993","CLOSED",NA,NA,NA,NA,NA,NA
"29","basketball","Crotona Playground #2","Crotona N between Marmion and Prospect","40.8402","-73.8913","CLOSED",NA,NA,NA,NA,NA,NA
"30","basketball","Crotona Playground #5","Crotona Pk E at E 173 St.","40.8377","-73.8908","CLOSED",NA,NA,NA,NA,NA,NA
"31","basketball","Crotona Playground #6","Crotona E between Suburban and Charlotte","40.8371","-73.8926","CLOSED",NA,NA,NA,NA,NA,NA
"32","basketball","Crotona Playground #7","Crotona E between Claremont and Charlotte","40.8363","-73.8949","CLOSED",NA,NA,NA,NA,NA,NA
"33","basketball","Crotona Playground #9","Crotona S between Clinton and Prospect","40.8391","-73.8931","CLOSED",NA,NA,NA,NA,NA,NA
"34","basketball","Dawson Playground","Intervale Ave. & Dawson St.","40.8195","-73.8982","CLOSED",NA,NA,NA,NA,NA,NA
"35","basketball","Devoe Park","Sedgwick Ave. & Fordham Ave.","40.8635","-73.9058","CLOSED",NA,NA,NA,NA,NA,NA
